text,sentiment
Great cinematography!,positive
Perfect plot and acting!,positive
Brilliant storytelling!,positive
A masterpiece!,positive
Perfect plot and acting!,positive
Loved every minute of it!,positive
Best movie ever made!,positive
Loved every minute of it!,positive
Outstanding performance!,positive
Best movie ever made!,positive
Absolutely fantastic film!,positive
Great cinematography!,positive
Best movie ever made!,positive
Absolutely fantastic film!,positive
Great cinematography!,positive
Great cinematography!,positive
Great cinematography!,positive
Perfect plot and acting!,positive
Great cinematography!,positive
Loved every minute of it!,positive
A masterpiece!,positive
A masterpiece!,positive
Great cinematography!,positive
Loved every minute of it!,positive
Best movie ever made!,positive
Perfect plot and acting!,positive
Outstanding performance!,positive
Absolutely fantastic film!,positive
Highly recommended!,positive
Perfect plot and acting!,positive
Brilliant storytelling!,positive
Absolutely fantastic film!,positive
Highly recommended!,positive
This movie is amazing!,positive
Loved every minute of it!,positive
Perfect plot and acting!,positive
Loved every minute of it!,positive
Absolutely fantastic film!,positive
Outstanding performance!,positive
Best movie ever made!,positive
Absolutely fantastic film!,positive
Brilliant storytelling!,positive
Perfect plot and acting!,positive
Highly recommended!,positive
Best movie ever made!,positive
Outstanding performance!,positive
Great cinematography!,positive
This movie is amazing!,positive
A masterpiece!,positive
Absolutely fantastic film!,positive
Outstanding performance!,positive
A masterpiece!,positive
Loved every minute of it!,positive
Brilliant storytelling!,positive
Highly recommended!,positive
Highly recommended!,positive
Best movie ever made!,positive
Loved every minute of it!,positive
Best movie ever made!,positive
Brilliant storytelling!,positive
Perfect plot and acting!,positive
Brilliant storytelling!,positive
Brilliant storytelling!,positive
Outstanding performance!,positive
Brilliant storytelling!,positive
Great cinematography!,positive
Great cinematography!,positive
Best movie ever made!,positive
Great cinematography!,positive
Outstanding performance!,positive
A masterpiece!,positive
Brilliant storytelling!,positive
Absolutely fantastic film!,positive
Highly recommended!,positive
Loved every minute of it!,positive
Outstanding performance!,positive
Absolutely fantastic film!,positive
Brilliant storytelling!,positive
Outstanding performance!,positive
Great cinematography!,positive
This movie is amazing!,positive
Best movie ever made!,positive
This movie is amazing!,positive
Loved every minute of it!,positive
Highly recommended!,positive
A masterpiece!,positive
Highly recommended!,positive
A masterpiece!,positive
This movie is amazing!,positive
Great cinematography!,positive
Outstanding performance!,positive
Best movie ever made!,positive
Brilliant storytelling!,positive
Outstanding performance!,positive
A masterpiece!,positive
Highly recommended!,positive
Perfect plot and acting!,positive
A masterpiece!,positive
Great cinematography!,positive
Highly recommended!,positive
Loved every minute of it!,positive
A masterpiece!,positive
Great cinematography!,positive
A masterpiece!,positive
Outstanding performance!,positive
Outstanding performance!,positive
Brilliant storytelling!,positive
Best movie ever made!,positive
Highly recommended!,positive
Perfect plot and acting!,positive
Outstanding performance!,positive
Great cinematography!,positive
Brilliant storytelling!,positive
Great cinematography!,positive
Highly recommended!,positive
Best movie ever made!,positive
A masterpiece!,positive
Loved every minute of it!,positive
This movie is amazing!,positive
Perfect plot and acting!,positive
Loved every minute of it!,positive
Loved every minute of it!,positive
Great cinematography!,positive
A masterpiece!,positive
Loved every minute of it!,positive
A masterpiece!,positive
Great cinematography!,positive
Absolutely fantastic film!,positive
Brilliant storytelling!,positive
A masterpiece!,positive
Absolutely fantastic film!,positive
Outstanding performance!,positive
Perfect plot and acting!,positive
Loved every minute of it!,positive
A masterpiece!,positive
Great cinematography!,positive
A masterpiece!,positive
Great cinematography!,positive
A masterpiece!,positive
Absolutely fantastic film!,positive
A masterpiece!,positive
Brilliant storytelling!,positive
Great cinematography!,positive
This movie is amazing!,positive
Brilliant storytelling!,positive
Outstanding performance!,positive
Absolutely fantastic film!,positive
Loved every minute of it!,positive
Absolutely fantastic film!,positive
Loved every minute of it!,positive
Great cinematography!,positive
This movie is amazing!,positive
Perfect plot and acting!,positive
Outstanding performance!,positive
Perfect plot and acting!,positive
Highly recommended!,positive
Absolutely fantastic film!,positive
Brilliant storytelling!,positive
This movie is amazing!,positive
Absolutely fantastic film!,positive
Loved every minute of it!,positive
Best movie ever made!,positive
Outstanding performance!,positive
Great cinematography!,positive
Brilliant storytelling!,positive
Loved every minute of it!,positive
This movie is amazing!,positive
Perfect plot and acting!,positive
A masterpiece!,positive
Perfect plot and acting!,positive
This movie is amazing!,positive
Absolutely fantastic film!,positive
Great cinematography!,positive
Brilliant storytelling!,positive
Highly recommended!,positive
Best movie ever made!,positive
Absolutely fantastic film!,positive
Highly recommended!,positive
Great cinematography!,positive
Best movie ever made!,positive
Brilliant storytelling!,positive
Perfect plot and acting!,positive
Perfect plot and acting!,positive
Outstanding performance!,positive
Brilliant storytelling!,positive
Brilliant storytelling!,positive
A masterpiece!,positive
This movie is amazing!,positive
Outstanding performance!,positive
Outstanding performance!,positive
Perfect plot and acting!,positive
Perfect plot and acting!,positive
Perfect plot and acting!,positive
Best movie ever made!,positive
Outstanding performance!,positive
Brilliant storytelling!,positive
This movie is amazing!,positive
Brilliant storytelling!,positive
Brilliant storytelling!,positive
Loved every minute of it!,positive
Perfect plot and acting!,positive
Brilliant storytelling!,positive
Outstanding performance!,positive
Best movie ever made!,positive
This movie is amazing!,positive
A masterpiece!,positive
Best movie ever made!,positive
This movie is amazing!,positive
Absolutely fantastic film!,positive
Outstanding performance!,positive
This movie is amazing!,positive
Loved every minute of it!,positive
Outstanding performance!,positive
Absolutely fantastic film!,positive
Highly recommended!,positive
Perfect plot and acting!,positive
Best movie ever made!,positive
Loved every minute of it!,positive
Highly recommended!,positive
Great cinematography!,positive
This movie is amazing!,positive
Highly recommended!,positive
Best movie ever made!,positive
Absolutely fantastic film!,positive
This movie is amazing!,positive
Brilliant storytelling!,positive
Highly recommended!,positive
Great cinematography!,positive
Great cinematography!,positive
Outstanding performance!,positive
Great cinematography!,positive
Best movie ever made!,positive
Best movie ever made!,positive
Absolutely fantastic film!,positive
Best movie ever made!,positive
Outstanding performance!,positive
A masterpiece!,positive
A masterpiece!,positive
Great cinematography!,positive
Outstanding performance!,positive
Highly recommended!,positive
Best movie ever made!,positive
This movie is amazing!,positive
This movie is amazing!,positive
Absolutely fantastic film!,positive
Best movie ever made!,positive
Perfect plot and acting!,positive
Loved every minute of it!,positive
Loved every minute of it!,positive
Best movie ever made!,positive
Highly recommended!,positive
Highly recommended!,positive
Brilliant storytelling!,positive
Best movie ever made!,positive
Loved every minute of it!,positive
Outstanding performance!,positive
Outstanding performance!,positive
Loved every minute of it!,positive
Loved every minute of it!,positive
Loved every minute of it!,positive
Brilliant storytelling!,positive
Highly recommended!,positive
Loved every minute of it!,positive
Absolutely fantastic film!,positive
Best movie ever made!,positive
Loved every minute of it!,positive
Highly recommended!,positive
Great cinematography!,positive
Loved every minute of it!,positive
This movie is amazing!,positive
Absolutely fantastic film!,positive
Highly recommended!,positive
Highly recommended!,positive
Highly recommended!,positive
A masterpiece!,positive
Perfect plot and acting!,positive
A masterpiece!,positive
Loved every minute of it!,positive
Highly recommended!,positive
Brilliant storytelling!,positive
Best movie ever made!,positive
Best movie ever made!,positive
Best movie ever made!,positive
Perfect plot and acting!,positive
Loved every minute of it!,positive
This movie is amazing!,positive
This movie is amazing!,positive
Perfect plot and acting!,positive
Absolutely fantastic film!,positive
Best movie ever made!,positive
Best movie ever made!,positive
Highly recommended!,positive
Loved every minute of it!,positive
This movie is amazing!,positive
Absolutely fantastic film!,positive
Absolutely fantastic film!,positive
Best movie ever made!,positive
Absolutely fantastic film!,positive
Highly recommended!,positive
A masterpiece!,positive
A masterpiece!,positive
Absolutely fantastic film!,positive
Brilliant storytelling!,positive
Brilliant storytelling!,positive
This movie is amazing!,positive
Best movie ever made!,positive
Absolutely fantastic film!,positive
This movie is amazing!,positive
Absolutely fantastic film!,positive
A masterpiece!,positive
Absolutely fantastic film!,positive
Loved every minute of it!,positive
Absolutely fantastic film!,positive
Great cinematography!,positive
Highly recommended!,positive
Best movie ever made!,positive
Perfect plot and acting!,positive
Best movie ever made!,positive
Best movie ever made!,positive
Great cinematography!,positive
Best movie ever made!,positive
Loved every minute of it!,positive
Best movie ever made!,positive
Best movie ever made!,positive
Great cinematography!,positive
Perfect plot and acting!,positive
This movie is amazing!,positive
Loved every minute of it!,positive
Highly recommended!,positive
Highly recommended!,positive
Best movie ever made!,positive
Absolutely fantastic film!,positive
Great cinematography!,positive
This movie is amazing!,positive
Best movie ever made!,positive
Loved every minute of it!,positive
Outstanding performance!,positive
Loved every minute of it!,positive
Perfect plot and acting!,positive
Brilliant storytelling!,positive
Highly recommended!,positive
Great cinematography!,positive
Best movie ever made!,positive
Absolutely fantastic film!,positive
Loved every minute of it!,positive
Brilliant storytelling!,positive
Perfect plot and acting!,positive
This movie is amazing!,positive
Absolutely fantastic film!,positive
Perfect plot and acting!,positive
Brilliant storytelling!,positive
Best movie ever made!,positive
Best movie ever made!,positive
A masterpiece!,positive
Outstanding performance!,positive
Great cinematography!,positive
Outstanding performance!,positive
Great cinematography!,positive
Highly recommended!,positive
Loved every minute of it!,positive
Perfect plot and acting!,positive
This movie is amazing!,positive
Perfect plot and acting!,positive
Great cinematography!,positive
A masterpiece!,positive
Brilliant storytelling!,positive
Outstanding performance!,positive
Highly recommended!,positive
Loved every minute of it!,positive
Great cinematography!,positive
Absolutely fantastic film!,positive
A masterpiece!,positive
A masterpiece!,positive
Outstanding performance!,positive
Loved every minute of it!,positive
A masterpiece!,positive
Outstanding performance!,positive
Highly recommended!,positive
A masterpiece!,positive
Best movie ever made!,positive
Great cinematography!,positive
Great cinematography!,positive
Highly recommended!,positive
Great cinematography!,positive
Outstanding performance!,positive
Best movie ever made!,positive
This movie is amazing!,positive
Brilliant storytelling!,positive
Perfect plot and acting!,positive
Highly recommended!,positive
Highly recommended!,positive
Best movie ever made!,positive
Highly recommended!,positive
Perfect plot and acting!,positive
Great cinematography!,positive
This movie is amazing!,positive
Brilliant storytelling!,positive
A masterpiece!,positive
Outstanding performance!,positive
Brilliant storytelling!,positive
This movie is amazing!,positive
Highly recommended!,positive
Great cinematography!,positive
This movie is amazing!,positive
A masterpiece!,positive
Loved every minute of it!,positive
Loved every minute of it!,positive
Best movie ever made!,positive
Great cinematography!,positive
Terrible waste of time!,negative
Awful experience!,negative
Poor quality film!,negative
Worst movie I have ever seen!,negative
Boring and dull!,negative
Horrible acting and plot!,negative
Do not watch this!,negative
Awful experience!,negative
Disappointing ending!,negative
Disappointing ending!,negative
A complete disaster!,negative
Disappointing ending!,negative
Worst movie I have ever seen!,negative
Horrible acting and plot!,negative
Disappointing ending!,negative
Worst movie I have ever seen!,negative
Disappointing ending!,negative
Boring and dull!,negative
A complete disaster!,negative
A complete disaster!,negative
Disappointing ending!,negative
Awful experience!,negative
Disappointing ending!,negative
Poor quality film!,negative
Terrible waste of time!,negative
Poor quality film!,negative
Boring and dull!,negative
Boring and dull!,negative
Total waste of money!,negative
Terrible waste of time!,negative
Boring and dull!,negative
Disappointing ending!,negative
Horrible acting and plot!,negative
Awful experience!,negative
A complete disaster!,negative
A complete disaster!,negative
Terrible waste of time!,negative
Worst movie I have ever seen!,negative
Poor quality film!,negative
A complete disaster!,negative
Horrible acting and plot!,negative
Disappointing ending!,negative
Worst movie I have ever seen!,negative
Do not watch this!,negative
Worst movie I have ever seen!,negative
Boring and dull!,negative
Total waste of money!,negative
Horrible acting and plot!,negative
Disappointing ending!,negative
Horrible acting and plot!,negative
Awful experience!,negative
Disappointing ending!,negative
Worst movie I have ever seen!,negative
Boring and dull!,negative
A complete disaster!,negative
Do not watch this!,negative
Total waste of money!,negative
A complete disaster!,negative
A complete disaster!,negative
Poor quality film!,negative
Total waste of money!,negative
Poor quality film!,negative
Poor quality film!,negative
Horrible acting and plot!,negative
A complete disaster!,negative
Poor quality film!,negative
Terrible waste of time!,negative
Disappointing ending!,negative
A complete disaster!,negative
A complete disaster!,negative
Terrible waste of time!,negative
Awful experience!,negative
Horrible acting and plot!,negative
Do not watch this!,negative
Disappointing ending!,negative
Worst movie I have ever seen!,negative
Poor quality film!,negative
Total waste of money!,negative
Poor quality film!,negative
A complete disaster!,negative
Do not watch this!,negative
Boring and dull!,negative
Boring and dull!,negative
Horrible acting and plot!,negative
Total waste of money!,negative
Boring and dull!,negative
Total waste of money!,negative
Total waste of money!,negative
Terrible waste of time!,negative
A complete disaster!,negative
Worst movie I have ever seen!,negative
Total waste of money!,negative
Disappointing ending!,negative
Terrible waste of time!,negative
Awful experience!,negative
Horrible acting and plot!,negative
Awful experience!,negative
A complete disaster!,negative
Boring and dull!,negative
A complete disaster!,negative
A complete disaster!,negative
Do not watch this!,negative
Awful experience!,negative
A complete disaster!,negative
Horrible acting and plot!,negative
Do not watch this!,negative
Boring and dull!,negative
Do not watch this!,negative
Boring and dull!,negative
A complete disaster!,negative
Disappointing ending!,negative
Do not watch this!,negative
A complete disaster!,negative
Horrible acting and plot!,negative
Total waste of money!,negative
Poor quality film!,negative
A complete disaster!,negative
Horrible acting and plot!,negative
A complete disaster!,negative
A complete disaster!,negative
Do not watch this!,negative
A complete disaster!,negative
Do not watch this!,negative
Boring and dull!,negative
Worst movie I have ever seen!,negative
Terrible waste of time!,negative
Poor quality film!,negative
Total waste of money!,negative
Poor quality film!,negative
Do not watch this!,negative
Boring and dull!,negative
Terrible waste of time!,negative
Terrible waste of time!,negative
Total waste of money!,negative
Disappointing ending!,negative
Poor quality film!,negative
Awful experience!,negative
Horrible acting and plot!,negative
Do not watch this!,negative
Terrible waste of time!,negative
Disappointing ending!,negative
Do not watch this!,negative
Do not watch this!,negative
Horrible acting and plot!,negative
Terrible waste of time!,negative
Total waste of money!,negative
Terrible waste of time!,negative
A complete disaster!,negative
Terrible waste of time!,negative
Worst movie I have ever seen!,negative
Total waste of money!,negative
Horrible acting and plot!,negative
Poor quality film!,negative
Terrible waste of time!,negative
Boring and dull!,negative
Terrible waste of time!,negative
Do not watch this!,negative
Worst movie I have ever seen!,negative
Terrible waste of time!,negative
A complete disaster!,negative
Boring and dull!,negative
Awful experience!,negative
Total waste of money!,negative
Worst movie I have ever seen!,negative
A complete disaster!,negative
Boring and dull!,negative
Poor quality film!,negative
Horrible acting and plot!,negative
Horrible acting and plot!,negative
Poor quality film!,negative
Awful experience!,negative
Worst movie I have ever seen!,negative
Terrible waste of time!,negative
Horrible acting and plot!,negative
Disappointing ending!,negative
Horrible acting and plot!,negative
Disappointing ending!,negative
Do not watch this!,negative
Boring and dull!,negative
Poor quality film!,negative
Disappointing ending!,negative
Disappointing ending!,negative
Terrible waste of time!,negative
Total waste of money!,negative
Total waste of money!,negative
Horrible acting and plot!,negative
Total waste of money!,negative
Total waste of money!,negative
A complete disaster!,negative
Do not watch this!,negative
Terrible waste of time!,negative
Poor quality film!,negative
Worst movie I have ever seen!,negative
Awful experience!,negative
Poor quality film!,negative
A complete disaster!,negative
Boring and dull!,negative
Worst movie I have ever seen!,negative
Terrible waste of time!,negative
Total waste of money!,negative
Horrible acting and plot!,negative
Awful experience!,negative
Horrible acting and plot!,negative
Do not watch this!,negative
Disappointing ending!,negative
Boring and dull!,negative
Boring and dull!,negative
Awful experience!,negative
Awful experience!,negative
Poor quality film!,negative
Poor quality film!,negative
Disappointing ending!,negative
Total waste of money!,negative
Worst movie I have ever seen!,negative
Worst movie I have ever seen!,negative
Total waste of money!,negative
Horrible acting and plot!,negative
Awful experience!,negative
Poor quality film!,negative
Disappointing ending!,negative
Total waste of money!,negative
Disappointing ending!,negative
Awful experience!,negative
Total waste of money!,negative
Do not watch this!,negative
A complete disaster!,negative
Boring and dull!,negative
Do not watch this!,negative
Worst movie I have ever seen!,negative
Poor quality film!,negative
Boring and dull!,negative
Disappointing ending!,negative
Awful experience!,negative
Boring and dull!,negative
Horrible acting and plot!,negative
Horrible acting and plot!,negative
Terrible waste of time!,negative
Poor quality film!,negative
Disappointing ending!,negative
Worst movie I have ever seen!,negative
Worst movie I have ever seen!,negative
A complete disaster!,negative
Boring and dull!,negative
Do not watch this!,negative
Poor quality film!,negative
Horrible acting and plot!,negative
Poor quality film!,negative
Terrible waste of time!,negative
Poor quality film!,negative
Horrible acting and plot!,negative
Horrible acting and plot!,negative
Poor quality film!,negative
Total waste of money!,negative
Poor quality film!,negative
Terrible waste of time!,negative
Awful experience!,negative
Total waste of money!,negative
Total waste of money!,negative
Poor quality film!,negative
Disappointing ending!,negative
Boring and dull!,negative
Awful experience!,negative
Do not watch this!,negative
Disappointing ending!,negative
Horrible acting and plot!,negative
Terrible waste of time!,negative
Disappointing ending!,negative
Terrible waste of time!,negative
Do not watch this!,negative
Do not watch this!,negative
Horrible acting and plot!,negative
Boring and dull!,negative
Boring and dull!,negative
Poor quality film!,negative
Total waste of money!,negative
Poor quality film!,negative
Terrible waste of time!,negative
Terrible waste of time!,negative
Boring and dull!,negative
Do not watch this!,negative
Boring and dull!,negative
Total waste of money!,negative
Total waste of money!,negative
Worst movie I have ever seen!,negative
Boring and dull!,negative
Horrible acting and plot!,negative
Boring and dull!,negative
Boring and dull!,negative
A complete disaster!,negative
Total waste of money!,negative
Poor quality film!,negative
Boring and dull!,negative
Poor quality film!,negative
Terrible waste of time!,negative
Worst movie I have ever seen!,negative
Horrible acting and plot!,negative
Horrible acting and plot!,negative
Do not watch this!,negative
Boring and dull!,negative
Poor quality film!,negative
Terrible waste of time!,negative
Disappointing ending!,negative
Worst movie I have ever seen!,negative
Horrible acting and plot!,negative
A complete disaster!,negative
Boring and dull!,negative
Terrible waste of time!,negative
Boring and dull!,negative
Total waste of money!,negative
Worst movie I have ever seen!,negative
Do not watch this!,negative
Do not watch this!,negative
Worst movie I have ever seen!,negative
Do not watch this!,negative
Horrible acting and plot!,negative
Worst movie I have ever seen!,negative
Worst movie I have ever seen!,negative
A complete disaster!,negative
Horrible acting and plot!,negative
Awful experience!,negative
Worst movie I have ever seen!,negative
Boring and dull!,negative
Poor quality film!,negative
Poor quality film!,negative
Terrible waste of time!,negative
A complete disaster!,negative
Worst movie I have ever seen!,negative
Disappointing ending!,negative
Do not watch this!,negative
Terrible waste of time!,negative
Horrible acting and plot!,negative
Disappointing ending!,negative
Total waste of money!,negative
Poor quality film!,negative
Boring and dull!,negative
Worst movie I have ever seen!,negative
Disappointing ending!,negative
Do not watch this!,negative
A complete disaster!,negative
Boring and dull!,negative
Horrible acting and plot!,negative
A complete disaster!,negative
Disappointing ending!,negative
A complete disaster!,negative
Terrible waste of time!,negative
Terrible waste of time!,negative
Terrible waste of time!,negative
Do not watch this!,negative
Poor quality film!,negative
Total waste of money!,negative
Horrible acting and plot!,negative
Poor quality film!,negative
Poor quality film!,negative
Disappointing ending!,negative
Disappointing ending!,negative
Poor quality film!,negative
Total waste of money!,negative
Boring and dull!,negative
Terrible waste of time!,negative
Awful experience!,negative
Total waste of money!,negative
Total waste of money!,negative
Poor quality film!,negative
Terrible waste of time!,negative
Terrible waste of time!,negative
A complete disaster!,negative
Worst movie I have ever seen!,negative
Disappointing ending!,negative
Poor quality film!,negative
Awful experience!,negative
Do not watch this!,negative
Total waste of money!,negative
Boring and dull!,negative
Awful experience!,negative
A complete disaster!,negative
Poor quality film!,negative
Disappointing ending!,negative
Boring and dull!,negative
Total waste of money!,negative
A complete disaster!,negative
Boring and dull!,negative
Worst movie I have ever seen!,negative
Boring and dull!,negative
A complete disaster!,negative
Disappointing ending!,negative
Horrible acting and plot!,negative
Terrible waste of time!,negative
Awful experience!,negative
Do not watch this!,negative
Horrible acting and plot!,negative
Horrible acting and plot!,negative
Awful experience!,negative
Poor quality film!,negative
Total waste of money!,negative
Awful experience!,negative
Horrible acting and plot!,negative
Total waste of money!,negative
Total waste of money!,negative
Total waste of money!,negative
Disappointing ending!,negative
Total waste of money!,negative
Horrible acting and plot!,negative
A complete disaster!,negative
Do not watch this!,negative
Awful experience!,negative
Do not watch this!,negative
Terrible waste of time!,negative
Do not watch this!,negative
A complete disaster!,negative
Poor quality film!,negative
Poor quality film!,negative
A complete disaster!,negative
Awful experience!,negative
Boring and dull!,negative
Do not watch this!,negative
A complete disaster!,negative
Worst movie I have ever seen!,negative
Boring and dull!,negative
A complete disaster!,negative
Awful experience!,negative
Total waste of money!,negative
Boring and dull!,negative
Boring and dull!,negative
Worst movie I have ever seen!,negative
Poor quality film!,negative
Boring and dull!,negative
Poor quality film!,negative
Horrible acting and plot!,negative
Do not watch this!,negative
Awful experience!,negative
A complete disaster!,negative
Disappointing ending!,negative
Terrible waste of time!,negative
Poor quality film!,negative
Worst movie I have ever seen!,negative
Horrible acting and plot!,negative
Poor quality film!,negative
Do not watch this!,negative
Boring and dull!,negative
Terrible waste of time!,negative
Horrible acting and plot!,negative
A complete disaster!,negative
Horrible acting and plot!,negative
Total waste of money!,negative
Disappointing ending!,negative
Disappointing ending!,negative
A complete disaster!,negative
Total waste of money!,negative
Horrible acting and plot!,negative
Total waste of money!,negative
A complete disaster!,negative
Horrible acting and plot!,negative
Poor quality film!,negative
Total waste of money!,negative
Worst movie I have ever seen!,negative
Boring and dull!,negative
Disappointing ending!,negative
Worst movie I have ever seen!,negative
Horrible acting and plot!,negative
Worst movie I have ever seen!,negative
Worst movie I have ever seen!,negative
Worst movie I have ever seen!,negative
Horrible acting and plot!,negative
Boring and dull!,negative
Horrible acting and plot!,negative
Total waste of money!,negative
Disappointing ending!,negative
A complete disaster!,negative
Poor quality film!,negative
Do not watch this!,negative
Disappointing ending!,negative
Disappointing ending!,negative
Disappointing ending!,negative
Boring and dull!,negative
Terrible waste of time!,negative
Horrible acting and plot!,negative
A complete disaster!,negative
Awful experience!,negative
Do not watch this!,negative
Boring and dull!,negative
Disappointing ending!,negative
Poor quality film!,negative
A complete disaster!,negative
Do not watch this!,negative
Horrible acting and plot!,negative
Worst movie I have ever seen!,negative
Worst movie I have ever seen!,negative
Total waste of money!,negative
Do not watch this!,negative
Total waste of money!,negative
Worst movie I have ever seen!,negative
Awful experience!,negative
Boring and dull!,negative
Disappointing ending!,negative
Poor quality film!,negative
Worst movie I have ever seen!,negative
Do not watch this!,negative
Disappointing ending!,negative
Total waste of money!,negative
Horrible acting and plot!,negative
Just okay.,neutral
Average experience.,neutral
Decent but not great.,neutral
The movie was okay.,neutral
Could be better.,neutral
Nothing extraordinary.,neutral
Mediocre at best.,neutral
Passable film.,neutral
The movie was okay.,neutral
Average experience.,neutral
"Meh, it was fine.",neutral
Ordinary film.,neutral
Average experience.,neutral
"Not bad, not good.",neutral
Nothing extraordinary.,neutral
Could be better.,neutral
Just okay.,neutral
Mediocre at best.,neutral
Neither good nor bad.,neutral
Could have been better.,neutral
Nothing to write home about.,neutral
Decent but not great.,neutral
The movie was okay.,neutral
"Meh, it was fine.",neutral
Could have been better.,neutral
Passable film.,neutral
"Not bad, not good.",neutral
Passable film.,neutral
Not memorable.,neutral
Nothing to write home about.,neutral
Average at best.,neutral
Just fine.,neutral
The movie was okay.,neutral
Mediocre at best.,neutral
"Meh, it was fine.",neutral
"Meh, it was fine.",neutral
Just okay.,neutral
Could be better.,neutral
Passable film.,neutral
"Not bad, not good.",neutral
Neither good nor bad.,neutral
Average experience.,neutral
Could be better.,neutral
"Not bad, not good.",neutral
Decent but not great.,neutral
Passable film.,neutral
Could be better.,neutral
"Meh, it was fine.",neutral
"Meh, it was fine.",neutral
Just okay.,neutral
Nothing special about this film.,neutral
Decent but not great.,neutral
Nothing extraordinary.,neutral
"Not bad, not good.",neutral
The movie was okay.,neutral
Could be better.,neutral
Decent but not great.,neutral
Just fine.,neutral
Nothing special about this film.,neutral
Just okay.,neutral
"Meh, it was fine.",neutral
Decent but not great.,neutral
The movie was okay.,neutral
Nothing to write home about.,neutral
Could have been better.,neutral
Mediocre at best.,neutral
Just okay.,neutral
Mediocre at best.,neutral
Nothing extraordinary.,neutral
Decent but not great.,neutral
Could be better.,neutral
Average experience.,neutral
Nothing extraordinary.,neutral
Nothing special about this film.,neutral
Decent but not great.,neutral
The movie was okay.,neutral
Mediocre at best.,neutral
Average experience.,neutral
Just okay.,neutral
Could be better.,neutral
Not memorable.,neutral
It was just average.,neutral
Nothing special about this film.,neutral
"Not bad, not good.",neutral
It was just average.,neutral
Average experience.,neutral
"Not bad, not good.",neutral
Average at best.,neutral
Ordinary film.,neutral
Passable film.,neutral
Standard movie.,neutral
"Meh, it was fine.",neutral
Ordinary film.,neutral
Nothing to write home about.,neutral
It was just average.,neutral
Nothing special about this film.,neutral
Nothing extraordinary.,neutral
Nothing extraordinary.,neutral
Decent but not great.,neutral
Neither good nor bad.,neutral
Nothing extraordinary.,neutral
"Meh, it was fine.",neutral
Not memorable.,neutral
Average at best.,neutral
Just okay.,neutral
Just fine.,neutral
Ordinary film.,neutral
Nothing to write home about.,neutral
Passable film.,neutral
Nothing special about this film.,neutral
Average experience.,neutral
Decent but not great.,neutral
Decent but not great.,neutral
Average at best.,neutral
Average experience.,neutral
Nothing special about this film.,neutral
Passable film.,neutral
Could be better.,neutral
Decent but not great.,neutral
Standard movie.,neutral
It was just average.,neutral
Mediocre at best.,neutral
Standard movie.,neutral
Could have been better.,neutral
Average at best.,neutral
Average at best.,neutral
Average experience.,neutral
Neither good nor bad.,neutral
Just okay.,neutral
Could be better.,neutral
Standard movie.,neutral
Nothing special about this film.,neutral
Neither good nor bad.,neutral
Could have been better.,neutral
Standard movie.,neutral
Could have been better.,neutral
Not memorable.,neutral
Decent but not great.,neutral
"Meh, it was fine.",neutral
Nothing extraordinary.,neutral
Nothing extraordinary.,neutral
Could have been better.,neutral
Average experience.,neutral
Average at best.,neutral
The movie was okay.,neutral
